country,year,parent_company,hdpe,ldpe,o,pet,pp,ps,pvc,grand_total,num_events,volunteers
United States of America,2020,Morinaga America,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Moroccanoil,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Muscle Milk,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,National Grape Cooperative Association,0.0,2.0,2.0,0.0,0.0,0.0,8.0,12.0,134,511.0
United States of America,2020,Nature's Own,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,134,511.0
United States of America,2020,Nestle,12.0,21.0,14.0,172.0,2.0,0.0,0.0,223.0,134,511.0
United States of America,2020,Newport,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Niagara Bottling,0.0,0.0,0.0,5.0,2.0,0.0,0.0,8.0,134,511.0
United States of America,2020,Niagra,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,134,511.0
United States of America,2020,Nissin,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,134,511.0
United States of America,2020,Nordic Naturals,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Northwest Natural Products,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Novolex,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Nuts About Florida,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Ocean Spray,1.0,0.0,2.0,3.0,1.0,2.0,0.0,9.0,134,511.0
United States of America,2020,Ogx Beauty,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Only What You Need Inc.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Organic Girl Produce LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Organic Valley,1.0,0.0,3.0,0.0,9.0,0.0,0.0,14.0,134,511.0
United States of America,2020,Oscar Mayer,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,134,511.0
United States of America,2020,Otsuka,0.0,1.0,3.0,66.0,0.0,0.0,0.0,70.0,134,511.0
United States of America,2020,Pall Mall,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Panda Express,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,"Panda Restaurant Group, Inc",1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Panera Bread,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Parmalat,0.0,0.0,0.0,2.0,16.0,0.0,0.0,18.0,134,511.0
United States of America,2020,Pax Labs,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Pepsico,1.0,32.0,74.0,300.0,18.0,1.0,5.0,440.0,134,511.0
United States of America,2020,Perdeu Farms,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,134,511.0
United States of America,2020,Perfetti Van Melle,0.0,0.0,7.0,0.0,1.0,0.0,0.0,9.0,134,511.0
United States of America,2020,Pernod Ricard,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,"PETA, Strauss Group",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Petsmart,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Pfizer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Pfizer Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Philip Morris International,0.0,0.0,91.0,2.0,0.0,0.0,1.0,110.0,134,511.0
United States of America,2020,Pladis,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Plaid Hat Games,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Platanitos,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Pmftc,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Pompeian,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Primo Water,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Procter & Gamble,6.0,2.0,25.0,9.0,13.0,1.0,4.0,67.0,134,511.0
United States of America,2020,Publix,2.0,3.0,0.0,8.0,3.0,0.0,0.0,16.0,134,511.0
United States of America,2020,Quiktrip,2.0,0.0,3.0,0.0,7.0,9.0,0.0,21.0,134,511.0
United States of America,2020,Quinoa Corp,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,RaceTrac,2.0,0.0,0.0,0.0,2.0,2.0,0.0,6.0,134,511.0
United States of America,2020,Raisio Group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Raley's,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Rbc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.65987831671455,134,511.0
United States of America,2020,Reckitt Benckiser,10.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,134,511.0
United States of America,2020,Red bubble,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Reddy Ice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Reitan Group,0.0,2.0,1.0,16.0,6.0,5.0,1.0,31.0,134,511.0
United States of America,2020,Reliance Cup LLC,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Restaurant Brands International,0.0,0.0,3.0,0.0,0.0,6.0,0.0,9.0,134,511.0
United States of America,2020,"Reynolds American, Inc.",0.0,3.0,56.0,1.0,0.0,1.0,0.0,65.0,134,511.0
United States of America,2020,"Rimports,LLC",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,Riviana Foods Inc,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Roark Capital Group,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Rudolf Wild & Co.,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,134,511.0
United States of America,2020,Sanford Lp,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Sargento,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Sazerac,0.0,0.0,0.0,32.0,0.0,0.0,0.0,33.0,134,511.0
United States of America,2020,Sazerac Company,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,134,511.0
United States of America,2020,Sc Johnson,1.0,28.0,7.0,8.0,3.0,2.0,0.0,49.0,134,511.0
United States of America,2020,Schering-Plough HealthCare Products,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Sealed Air,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,134,511.0
United States of America,2020,Secret,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Seenda,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Seventh Generation,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,134,511.0
United States of America,2020,Silver Springs,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Smart & Final Corp,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,SociâˆšÂ©tâˆšÂ© Bic,5.0,0.0,6.0,0.0,0.0,0.0,1.0,13.0,134,511.0
United States of America,2020,Sociã©Tã© Bic,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,134,511.0
United States of America,2020,Solo,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,Solo Cup Co.,0.0,0.0,0.0,30.0,38.0,17.0,0.0,85.0,134,511.0
United States of America,2020,Sonic,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,134,511.0
United States of America,2020,Speed Stick,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Speedway,0.0,0.0,1.0,0.0,6.0,2.0,0.0,9.0,134,511.0
United States of America,2020,Starbucks,0.0,0.0,10.0,45.0,62.0,19.0,0.0,138.0,134,511.0
United States of America,2020,Storopack hands Reichenecker GmbH,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,StorPak,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Subway,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,134,511.0
United States of America,2020,Sun Pacific,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Sunset,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Suntory,47.0,2.0,25.0,2.0,27.0,0.0,0.0,103.0,134,511.0
United States of America,2020,Supertech,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,SuperValu,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Sutter Home,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Swisher International Inc,0.0,1.0,5.0,0.0,0.0,0.0,6.0,12.0,134,511.0
United States of America,2020,Swisher Sweets,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,134,511.0
United States of America,2020,T. Marzetti Co.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,134,511.0
United States of America,2020,Taco Bell,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,134,511.0
United States of America,2020,Target,1.0,5.0,25.0,5.0,0.0,0.0,0.0,36.0,134,511.0
